"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16762","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/219651","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","13-Jan-2026","SATENDRA KUMAR","Payment Success","321467"
"16763","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP818/2025-2026/174087","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","12-Mar-2026","SATENDRA KUMAR","Payment Success","481565"
"16764","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/191756","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","10-Jan-2026","SHREE SHYAM CONSTRUCTION COMPANY","Payment Success","811235"
"16765","Chhattisgarh","Construction of culverts and bridges","WS/MP18354/2025-2026/250057","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","09-Jan-2026","gram panchayt natwarnagar","Payment Success","1029243"
"16766","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/187277","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","08-Jan-2026","GOURANG CHARAN LENKA","Payment Success","300000"
"16767","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/217380","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","12-Jan-2026","DAVINDER SINGH","Payment Success","38999"
"16768","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/208311","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","12-Jan-2026","DAVINDER SINGH","Payment Success","9632"
"16769","Odisha","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","WS/MP18147/2025-2026/191013","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","12-Jan-2026","SARANGADHAR PRADHAN","Payment Success","288327"
"16770","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238207","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","12-Jan-2026","GAJANAND TRADERS","Payment Success","260000"
"16771","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238207","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","12-Jan-2026","GAJANAND TRADERS","Payment Success","50800"
"16772","Rajasthan","Development of playground","WS/MP18160/2025-2026/176120","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","14-Jan-2026","MAHADEV TRADING COMPANY","Payment Success","800000"
"16773","Punjab","Development of playfields and sports grounds","WS/MP18155/2025-2026/192800","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Jan-2026","Muni Lal","Payment Success","15800"
"16774","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247630","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","14-Jan-2026","Buta Singh So Ruliya Ram Mistery Kular","Payment Success","36400"
"16775","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238207","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","12-Jan-2026","BINALBEN VIPULKUMAR DAVE","Payment Success","184056"
"16776","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/205039","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","12-Jan-2026","JASVIR KAUR SARPANCH","Payment Success","69137"
"16777","Gujarat","Construction of rooms and halls in school and colleges","WS/MP18321/2025-2026/219446","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","19-Jan-2026","M N SHAH HIGHSCHOOL RAMOS","Payment Success","300000"
"16778","Haryana","Construction of shelters for animals","WS/MP18067/2025-2026/178881","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","BDPO Safidon","Payment Success","88593"
"16779","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","BDPO Safidon","Payment Success","140373"
"16780","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/224014","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Arvind Dharmapuri","NIZAMABAD","17-Jan-2026","BOTLA RAVEEN PRASAD","Payment Success","490000"
