"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3353","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280105","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3354","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280103","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3355","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280102","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3356","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280113","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3357","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280112","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3358","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280111","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3359","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280110","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3360","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280109","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3361","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280108","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3362","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280104","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3363","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/177755","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","21-Aug-2026","BDO GHASIPURA ROYALTY","Payment Success","16869"
"3364","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","19-Aug-2026","K R AND SONS Binta Almora","Payment Success","94297"
"3365","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","VINOD CHANDRA","Payment Success","8136"
"3366","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BHUWAN CHANDRA JOSHI","Payment Success","8136"
"3367","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","SURESH CHANDRA","Payment Success","5400"
"3368","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","Khasti Devi Joshi","Payment Success","5400"
"3369","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BHUWAN CHANDRA MATHPAL","Payment Success","5400"
"3370","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","MAMTA MATHPAL","Payment Success","5400"
"3371","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BABITA PATHAK","Payment Success","5400"
"3372","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","DAYA DEVI","Payment Success","5400"
"3373","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","TULSI DEVI JOSHI","Payment Success","5400"
"3374","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BHUWAN SINGH","Payment Success","5400"
"3375","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","ANIL KUMAR","Payment Success","5400"
"3376","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","CHARU  JOSHI","Payment Success","5400"
"3377","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","MUNNI DEVI","Payment Success","5400"
"3378","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","DHAN SINGH","Payment Success","5400"
"3379","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","KHEEMA  NATH","Payment Success","5400"
"3380","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","DEVKI DEVI","Payment Success","5400"
"3381","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","NEEMA","Payment Success","2400"
"3382","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","MANOJ MATHPAL","Payment Success","2400"
"3383","Maharashtra","Construction of common work sheds/ common covered sitting area","WS/MP18369/2026-2027/165950","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","17-Aug-2026","AAVESH RAUF SHEIKH","Payment Success","198998"
"3384","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/208726","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","24-Aug-2026","SHIVARAJ DYAVAPPA DANDIN","Payment Success","375000"
"3385","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18086/2026-2027/194015","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","17-Aug-2026","C S RAMESH","Payment Success","225000"
"3386","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247632","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","Ms Badyal Brothers Cement Store","Payment Success","32000"
"3387","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247632","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","Ms Badyal Brothers Cement Store","Payment Success","32000"
"3388","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247632","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","Ms Badyal Brothers Cement Store","Payment Success","73065"
"3389","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247632","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","Ms Badyal Brothers Cement Store","Payment Success","17935"
"3390","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","vishal","Payment Success","18300"
"3391","Madhya Pradesh","Development of public parks","WS/MP643/2025-2026/259819","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","17-Aug-2026","gram panchayat bhawsa","Payment Success","500000"
"3392","Telangana","Construction of toilet blocks","WS/MP18338/2026-2027/258078","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","17-Aug-2026","V Indrasena","Payment Success","498542"
"3393","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/262258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Aug-2026","SONIA RANI","Payment Success","28800"
"3394","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/262258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Aug-2026","SONIA RANI","Payment Success","54000"
"3395","Telangana","Installing tube-wells and borewells","WS/MP770/2026-2027/245428","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","19-Aug-2026","Gunta Ravi","Payment Success","184482"
"3396","Telangana","Installing tube-wells and borewells","WS/MP770/2026-2027/245426","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","19-Aug-2026","Gunta Ravi","Payment Success","192229"
"3397","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP756/2026-2027/242938","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","18-Aug-2026","SUNDARASU","Payment Success","382845"
"3398","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298663","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","18-Aug-2026","GRAM PANCHAYT KHARRA","Payment Success","400000"
"3399","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298666","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","18-Aug-2026","GRAM PANCHAYAT KHAMTRAI","Payment Success","400000"
"3400","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298665","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","18-Aug-2026","GRAM PANCHAYT GODGIRI","Payment Success","400000"
"3401","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298664","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","18-Aug-2026","GRAM PANCHAYT DEVRI","Payment Success","400000"
"3402","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP644/2026-2027/289040","REWA(DISTRICT COLLECTOR REWA_IDA)","Janardan Mishra","REWA","21-Aug-2026","GP CHANDEH","Payment Success","375000"
"3403","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/295316","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","18-Aug-2026","GRAM PANCHAYT SARDA","Payment Success","375000"
"3404","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203944","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Sagandeep Singh","Payment Success","17468"
"3405","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203943","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Sagandeep Singh","Payment Success","44464"
"3406","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/208761","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","17-Aug-2026","Sabu K A","Payment Success","367621"
"3407","Maharashtra","Installation of fixed garden gym equipment","WS/MP18128/2026-2027/217789","PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA)","DR. HEMANT VISHNU SAVARA","PALGHAR(ST)","17-Aug-2026","JAY SHREE KRUSHNA MAJUR KAMGAR SANSTHA","Payment Success","994243"
"3408","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/258730","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","20-Aug-2026","bhagwan singh","Payment Success","425285"
"3409","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/258721","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","20-Aug-2026","bhagwan singh","Payment Success","426350"
"3410","Gujarat","Construction of rooms and halls in school and colleges","WS/MP18055/2025-2026/220478","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","14-Aug-2026","sarpanch Gram panchayat khojalvasa","Payment Success","495000"
"3411","Haryana","Construction of public toilets and bathrooms","WS/MP329/2026-2027/279156","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","14-Aug-2026","Dada Udal Dev Industries","Payment Success","96941"
"3412","Odisha","Construction of rooms and halls in school and colleges","WS/MP18310/2026-2027/243221","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","16-Aug-2026","JYOTIMAYI PATTANAYAK","Payment Success","500000"
"3413","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/285484","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","14-Aug-2026","GP DUBAHA","Payment Success","250000"
"3414","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18022/2026-2027/268343","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","18-Aug-2026","PABITRA HANDIQUE","Payment Success","290210"
"3415","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","19-Aug-2026","Dasmesh tiles and buliding material","Payment Success","27200"
"3416","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","19-Aug-2026","Dasmesh tiles and buliding material","Payment Success","66000"
"3417","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","19-Aug-2026","jaswinder singh","Payment Success","35638"
"3418","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/232779","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","GS TILES","Payment Success","93200"
"3419","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/177534","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","22-Aug-2026","RKTREDERS","Payment Success","7262"
"3420","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2026-2027/264839","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","25-Aug-2026","Dinesh Kumar","Payment Success","989200"
"3421","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3422","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3423","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3424","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3425","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Aug-2026","RAM KUMAR THERI SARPANCH","Payment Success","74540"
"3426","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","16-Aug-2026","aakash","Payment Success","10500"
"3427","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","16-Aug-2026","pohap singh","Payment Success","10500"
"3428","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","20-Aug-2026","pohap singh","Payment Success","4067"
"3429","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","16-Aug-2026","mahavir singh","Payment Success","3990"
